"";"Regija";"Placilni.razred";"Leto";"Spol";"Neto.placa"
"152";"SLOVENIJA";"17";"2016";"Moski";12458
"153";"SLOVENIJA";"17";"2017";"Moski";13379
"154";"SLOVENIJA";"18";"2009";"Moski";13468
"155";"SLOVENIJA";"18";"2010";"Moski";13051
"156";"SLOVENIJA";"18";"2011";"Moski";12572
"157";"SLOVENIJA";"18";"2012";"Moski";12757
"158";"SLOVENIJA";"18";"2013";"Moski";12933
"159";"SLOVENIJA";"18";"2014";"Moski";13357
"160";"SLOVENIJA";"18";"2015";"Moski";13413
"161";"SLOVENIJA";"18";"2016";"Moski";13918
"162";"SLOVENIJA";"18";"2017";"Moski";14735
"163";"SLOVENIJA";"19";"2009";"Moski";15966
"164";"SLOVENIJA";"19";"2010";"Moski";15509
"165";"SLOVENIJA";"19";"2011";"Moski";15017
"166";"SLOVENIJA";"19";"2012";"Moski";14871
"167";"SLOVENIJA";"19";"2013";"Moski";14798
"168";"SLOVENIJA";"19";"2014";"Moski";15100
"169";"SLOVENIJA";"19";"2015";"Moski";15153
"170";"SLOVENIJA";"19";"2016";"Moski";15327
"171";"SLOVENIJA";"19";"2017";"Moski";16166
"172";"SLOVENIJA";"20";"2009";"Moski";18739
"173";"SLOVENIJA";"20";"2010";"Moski";17822
"174";"SLOVENIJA";"20";"2011";"Moski";17268
"175";"SLOVENIJA";"20";"2012";"Moski";16829
"176";"SLOVENIJA";"20";"2013";"Moski";16674
"177";"SLOVENIJA";"20";"2014";"Moski";16969
"178";"SLOVENIJA";"20";"2015";"Moski";16836
"179";"SLOVENIJA";"20";"2016";"Moski";17048
"180";"SLOVENIJA";"20";"2017";"Moski";17450
"181";"Pomurska";"01";"2009";"Moski";524
"182";"Pomurska";"01";"2010";"Moski";510
"183";"Pomurska";"01";"2011";"Moski";485
"184";"Pomurska";"01";"2012";"Moski";574
"185";"Pomurska";"01";"2013";"Moski";553
"186";"Pomurska";"01";"2014";"Moski";500
"187";"Pomurska";"01";"2015";"Moski";521
"188";"Pomurska";"01";"2016";"Moski";480
"189";"Pomurska";"01";"2017";"Moski";461
"190";"Pomurska";"02";"2009";"Moski";664
"191";"Pomurska";"02";"2010";"Moski";700
"192";"Pomurska";"02";"2011";"Moski";604
"193";"Pomurska";"02";"2012";"Moski";556
"194";"Pomurska";"02";"2013";"Moski";592
"195";"Pomurska";"02";"2014";"Moski";470
"196";"Pomurska";"02";"2015";"Moski";502
"197";"Pomurska";"02";"2016";"Moski";503
"198";"Pomurska";"02";"2017";"Moski";538
"199";"Pomurska";"03";"2009";"Moski";783
"200";"Pomurska";"03";"2010";"Moski";910
"201";"Pomurska";"03";"2011";"Moski";798
"202";"Pomurska";"03";"2012";"Moski";851
"203";"Pomurska";"03";"2013";"Moski";786
"204";"Pomurska";"03";"2014";"Moski";718
"205";"Pomurska";"03";"2015";"Moski";670
"206";"Pomurska";"03";"2016";"Moski";695
