"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Neto plaèa";" ";" "
" ";" ";" ";"Plaèa za obdobje [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";"SKD Dejavnost"
" ";" ";"2014";849.95;4.81;101.60
" ";" ";"2015";877.80;5.07;103.30
" ";" ";"2016";875.23;5.10;101.50
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO"
" ";" ";"2005";754.81;3.76;111.90
" ";" ";"2006";816.85;3.71;108.20
" ";" ";"2007";973.81;4.76;119.20
" ";" ";"2008";982.69;4.93;100.90
" ";" ";"2009";1131.62;6.20;115.20
" ";" ";"2010";1042.07;6.42;92.10
" ";" ";"2011";994.91;6.18;95.50
" ";" ";"2012";917.06;5.42;92.20
" ";" ";"2013";986.38;5.58;107.60
" ";" ";"2014";1004.68;5.69;101.90
" ";" ";"2015";991.11;5.84;98.60
" ";" ";"2016";1028.92;5.94;100.60
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA"
" ";" ";"2005";652.98;3.97;95.40
" ";" ";"2006";693.11;4.05;106.10
" ";" ";"2007";755.89;4.25;109.10
" ";" ";"2008";821.84;4.64;108.70
" ";" ";"2009";822.29;4.79;100.10
" ";" ";"2010";818.30;5.08;99.50
" ";" ";"2011";848.38;5.24;103.70
" ";" ";"2012";897.26;5.33;105.80
" ";" ";"2013";886.32;5.13;98.80
" ";" ";"2014";940.57;5.30;106.10
" ";" ";"2015";909.65;5.28;96.70
" ";" ";"2016";900.25;5.28;102.50
" ";"F GRADBENIŠTVO"
" ";" ";"2005";568.21;3.49;107.90
" ";" ";"2006";616.07;3.62;108.40
" ";" ";"2007";676.50;3.76;109.80
" ";" ";"2008";830.52;4.67;122.80
" ";" ";"2009";802.44;4.69;96.60
" ";" ";"2010";773.08;4.72;96.30
" ";" ";"2011";797.70;4.86;103.20
" ";" ";"2012";830.76;4.85;104.10
" ";" ";"2013";845.66;4.84;101.80
" ";" ";"2014";856.71;4.91;101.30
" ";" ";"2015";827.31;4.90;96.60
" ";" ";"2016";854.40;5.08;101.00
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL"
" ";" ";"2005";542.49;3.20;106.80
" ";" ";"2006";560.23;3.31;103.30
" ";" ";"2007";610.22;3.50;108.90
" ";" ";"2008";647.66;3.75;106.10
" ";" ";"2009";687.11;4.05;106.10
" ";" ";"2010";697.24;4.26;101.50
" ";" ";"2011";734.34;4.49;105.30
" ";" ";"2012";761.98;4.57;103.80
" ";" ";"2013";772.95;4.48;101.40
" ";" ";"2014";774.45;4.50;100.20
" ";" ";"2015";785.65;4.68;101.40
" ";" ";"2016";797.47;4.83;101.60
" ";"H PROMET IN SKLADIŠÈENJE"
" ";" ";"2005";579.51;3.47;98.60
" ";" ";"2006";640.34;3.78;110.50
" ";" ";"2007";680.13;3.97;106.20
" ";" ";"2008";707.55;4.13;104.00
" ";" ";"2009";735.10;4.38;103.90
" ";" ";"2010";738.82;4.44;100.50
" ";" ";"2011";756.51;4.55;102.40
