"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2010","Italy","Number","Passenger cars","1,832",""
"2010","Italy","Number","Buses","7",""
"2010","Latvia","Number","Passenger cars","91",""
"2010","Latvia","Number","Buses","3",""
"2010","Lithuania","Number","Passenger cars",":",""
"2010","Lithuania","Number","Buses",":",""
"2010","Luxembourg","Number","Passenger cars","27",""
"2010","Luxembourg","Number","Buses","0",""
"2010","Hungary","Number","Passenger cars","330",""
"2010","Hungary","Number","Buses","12",""
"2010","Netherlands","Number","Passenger cars","219",""
"2010","Netherlands","Number","Buses","1",""
"2010","Austria","Number","Passenger cars","291",""
"2010","Austria","Number","Buses","8",""
"2010","Poland","Number","Passenger cars","1,853",""
"2010","Poland","Number","Buses","14",""
"2010","Portugal","Number","Passenger cars","367",""
"2010","Portugal","Number","Buses",":",""
"2010","Romania","Number","Passenger cars","973",""
"2010","Romania","Number","Buses","10",""
"2010","Slovenia","Number","Passenger cars","44",""
"2010","Slovenia","Number","Buses","0",""
"2010","Slovakia","Number","Passenger cars","171",""
"2010","Slovakia","Number","Buses","0",""
"2010","Finland","Number","Passenger cars","159",""
"2010","Finland","Number","Buses","0",""
"2010","Sweden","Number","Passenger cars","151",""
"2010","Sweden","Number","Buses","2",""
"2010","United Kingdom","Number","Passenger cars","859",""
"2010","United Kingdom","Number","Buses",":",""
"2010","Norway","Number","Passenger cars","127",""
"2010","Norway","Number","Buses","1",""
"2010","Switzerland","Number","Passenger cars","129",""
"2010","Switzerland","Number","Buses","2",""
"2011","European Union (current composition)","Number","Passenger cars",":",""
"2011","European Union (current composition)","Number","Buses",":",""
"2011","Belgium","Number","Passenger cars","457",""
"2011","Belgium","Number","Buses","2",""
"2011","Bulgaria","Number","Passenger cars","398",""
"2011","Bulgaria","Number","Buses","11",""
"2011","Czechia","Number","Passenger cars","404",""
"2011","Czechia","Number","Buses","4",""
"2011","Denmark","Number","Passenger cars","106",""
"2011","Denmark","Number","Buses",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","1,986",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Buses","10",""
"2011","Estonia","Number","Passenger cars","56",""
"2011","Estonia","Number","Buses","1",""
"2011","Ireland","Number","Passenger cars","95",""
"2011","Ireland","Number","Buses","0",""
"2011","Greece","Number","Passenger cars","474",""
"2011","Greece","Number","Buses","4",""
"2011","Spain","Number","Passenger cars","973",""
"2011","Spain","Number","Buses","3",""
"2011","France","Number","Passenger cars","2,062",""
"2011","France","Number","Buses","0",""
"2011","Croatia","Number","Passenger cars","215",""
"2011","Croatia","Number","Buses","0",""
"2011","Italy","Number","Passenger cars","1,673",""
"2011","Italy","Number","Buses","2",""
"2011","Latvia","Number","Passenger cars","78",""
"2011","Latvia","Number","Buses","1",""
"2011","Lithuania","Number","Passenger cars",":",""
"2011","Lithuania","Number","Buses",":",""
"2011","Luxembourg","Number","Passenger cars","21",""
"2011","Luxembourg","Number","Buses","0",""
"2011","Hungary","Number","Passenger cars","268",""
"2011","Hungary","Number","Buses","30",""
"2011","Netherlands","Number","Passenger cars","209",""
"2011","Netherlands","Number","Buses","0",""
"2011","Austria","Number","Passenger cars","289",""
"2011","Austria","Number","Buses","0",""
"2011","Poland","Number","Passenger cars","1,897",""
"2011","Poland","Number","Buses","12",""
"2011","Portugal","Number","Passenger cars","331",""
"2011","Portugal","Number","Buses",":",""
"2011","Romania","Number","Passenger cars","780",""
"2011","Romania","Number","Buses","9",""
"2011","Slovenia","Number","Passenger cars","46",""
"2011","Slovenia","Number","Buses",":",""
"2011","Slovakia","Number","Passenger cars",":",""
"2011","Slovakia","Number","Buses",":",""
"2011","Finland","Number","Passenger cars","172",""
"2011","Finland","Number","Buses","2",""
"2011","Sweden","Number","Passenger cars","159",""
"2011","Sweden","Number","Buses","2",""
"2011","United Kingdom","Number","Passenger cars","911",""
"2011","United Kingdom","Number","Buses",":",""
"2011","Norway","Number","Passenger cars","102",""
"2011","Norway","Number","Buses","0",""
"2011","Switzerland","Number","Passenger cars","119",""
"2011","Switzerland","Number","Buses","2",""
"2012","European Union (current composition)","Number","Passenger cars",":",""
"2012","European Union (current composition)","Number","Buses",":",""
"2012","Belgium","Number","Passenger cars","383",""
"2012","Belgium","Number","Buses","9",""
"2012","Bulgaria","Number","Passenger cars","335",""
"2012","Bulgaria","Number","Buses","2",""
"2012","Czechia","Number","Passenger cars","368",""
"2012","Czechia","Number","Buses","2",""
"2012","Denmark","Number","Passenger cars","81",""
"2012","Denmark","Number","Buses",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","1,791",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Buses","2",""
"2012","Estonia","Number","Passenger cars","42",""
"2012","Estonia","Number","Buses","2",""
"2012","Ireland","Number","Passenger cars","89",""
"2012","Ireland","Number","Buses","1",""
"2012","Greece","Number","Passenger cars","383",""
"2012","Greece","Number","Buses","8",""
"2012","Spain","Number","Passenger cars","868",""
"2012","Spain","Number","Buses","3",""
"2012","France","Number","Passenger cars","1,881",""
"2012","France","Number","Buses","7",""
"2012","Croatia","Number","Passenger cars","186",""
"2012","Croatia","Number","Buses","8",""
"2012","Italy","Number","Passenger cars","1,695",""
"2012","Italy","Number","Buses","0",""
"2012","Latvia","Number","Passenger cars","72",""
"2012","Latvia","Number","Buses",":",""
"2012","Lithuania","Number","Passenger cars",":",""
"2012","Lithuania","Number","Buses",":",""
"2012","Luxembourg","Number","Passenger cars","22",""
"2012","Luxembourg","Number","Buses","0",""
"2012","Hungary","Number","Passenger cars","253",""
"2012","Hungary","Number","Buses","3",""
"2012","Netherlands","Number","Passenger cars","218",""
"2012","Netherlands","Number","Buses","1",""
"2012","Austria","Number","Passenger cars","282",""
"2012","Austria","Number","Buses","2",""
"2012","Poland","Number","Passenger cars","1,615",""
"2012","Poland","Number","Buses","18",""
"2012","Portugal","Number","Passenger cars","255",""
"2012","Portugal","Number","Buses",":",""
"2012","Romania","Number","Passenger cars","798",""
"2012","Romania","Number","Buses","10",""
"2012","Slovenia","Number","Passenger cars","53",""
"2012","Slovenia","Number","Buses",":",""
"2012","Slovakia","Number","Passenger cars",":",""
"2012","Slovakia","Number","Buses",":",""
"2012","Finland","Number","Passenger cars","147",""
"2012","Finland","Number","Buses",":",""
"2012","Sweden","Number","Passenger cars","142",""
"2012","Sweden","Number","Buses","2",""
"2012","United Kingdom","Number","Passenger cars","829",""
"2012","United Kingdom","Number","Buses",":",""
"2012","Norway","Number","Passenger cars","73",""
"2012","Norway","Number","Buses","0",""
"2012","Switzerland","Number","Passenger cars","104",""
"2012","Switzerland","Number","Buses","31",""
"2013","European Union (current composition)","Number","Passenger cars",":",""
"2013","European Union (current composition)","Number","Buses",":",""
"2013","Belgium","Number","Passenger cars","340",""
"2013","Belgium","Number","Buses","5",""
"2013","Bulgaria","Number","Passenger cars","367",""
"2013","Bulgaria","Number","Buses","1",""
"2013","Czechia","Number","Passenger cars","308",""
