"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2010";1361;960;401
" ";" ";"2011";1276;893;383
" ";" ";"2012";1270;874;396
" ";" ";"2013";1324;920;404
" ";" ";"2014";1342;911;431
" ";" ";"2015";1293;882;411
" ";" ";"2016";1286;872;414
" ";" ";"2017 (zaèasni podatki)";1279;857;422
" ";"09"
" ";" ";"2009";1464;996;468
" ";" ";"2010";1282;841;441
" ";" ";"2011";1200;806;394
" ";" ";"2012";1243;817;426
" ";" ";"2013";1344;887;457
" ";" ";"2014";1248;793;455
" ";" ";"2015";1186;794;392
" ";" ";"2016";1229;806;423
" ";" ";"2017 (zaèasni podatki)";1173;776;397
" ";"10"
" ";" ";"2009";1334;888;446
" ";" ";"2010";1295;783;512
" ";" ";"2011";1232;761;471
" ";" ";"2012";1183;742;441
" ";" ";"2013";1202;734;468
" ";" ";"2014";1167;732;435
" ";" ";"2015";1190;755;435
" ";" ";"2016";1217;781;436
" ";" ";"2017 (zaèasni podatki)";1216;749;467
" ";"11"
" ";" ";"2009";1190;723;467
" ";" ";"2010";1147;683;464
" ";" ";"2011";1128;698;430
" ";" ";"2012";1120;679;441
" ";" ";"2013";1025;616;409
" ";" ";"2014";1090;648;442
" ";" ";"2015";1140;674;466
" ";" ";"2016";1065;636;429
" ";" ";"2017 (zaèasni podatki)";1077;657;420
" ";"12"
" ";" ";"2009";1136;675;461
" ";" ";"2010";1095;645;450
" ";" ";"2011";1037;599;438
" ";" ";"2012";1134;648;486
" ";" ";"2013";991;527;464
" ";" ";"2014";1008;559;449
" ";" ";"2015";979;574;405
" ";" ";"2016";1040;608;432
" ";" ";"2017 (zaèasni podatki)";1082;633;449
" ";"13"
" ";" ";"2009";1065;610;455
" ";" ";"2010";988;563;425
" ";" ";"2011";988;557;431
" ";" ";"2012";1015;568;447
" ";" ";"2013";958;527;431
" ";" ";"2014";967;566;401
" ";" ";"2015";942;565;377
" ";" ";"2016";1010;596;414
" ";" ";"2017 (zaèasni podatki)";995;594;401
" ";"14"
" ";" ";"2009";1080;551;529
" ";" ";"2010";1031;516;515
" ";" ";"2011";995;517;478
" ";" ";"2012";977;516;461
" ";" ";"2013";915;458;457
