"";"Regija";"Dejavnost";"Leto";"Plača.za.obodbje.v.EUR";"Plača_za_delano_uro_v_obdobju.v.EUR";"Indeks.spremembe.plače.glede.na.prejšnje.obdobje"
"113";"SLOVENIJA";"I GOSTINSTVO";2009;693,14;4,18;104,2
"114";"SLOVENIJA";"I GOSTINSTVO";2010;704,2;4,41;101,6
"115";"SLOVENIJA";"I GOSTINSTVO";2011;752,14;4,74;106,8
"116";"SLOVENIJA";"I GOSTINSTVO";2012;753,01;4,63;100,1
"117";"SLOVENIJA";"I GOSTINSTVO";2013;742,75;4,46;98,6
"118";"SLOVENIJA";"I GOSTINSTVO";2014;740,32;4,45;99,7
"119";"SLOVENIJA";"I GOSTINSTVO";2015;723,33;4,51;97,7
"120";"SLOVENIJA";"I GOSTINSTVO";2016;729,95;4,6;98,5
"121";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2005;973,27;5,81;102,7
"122";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2006;1013,1;5,88;104,1
"123";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2007;1140,73;6,37;112,6
"124";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2008;1173,72;6,61;102,9
"125";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2009;1254,18;7,31;106,9
"126";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2010;1253,58;7,61;100
"127";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2011;1285,68;7,84;102,6
"128";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2012;1297,85;7,63;100,9
"129";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2013;1295,56;7,31;99,8
"130";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2014;1292,29;7,35;99,7
"131";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2015;1296,55;7,59;100,3
"132";"SLOVENIJA";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";2016;1300,28;7,72;100,9
"133";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2005;957,14;5,85;104,7
"134";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2006;1008,11;5,94;105,3
"135";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2007;1121,86;6,33;111,3
"136";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2008;1199,95;6,81;107
"137";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2009;1241,61;7,35;103,5
"138";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2010;1258,82;7,78;101,4
"139";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2011;1317,94;8,15;104,7
"140";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2012;1339,69;7,96;101,7
"141";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2013;1344,07;7,66;100,3
"142";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2014;1345,28;7,72;100,1
"143";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2015;1434,61;8,59;106,6
"144";"SLOVENIJA";"K FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI";2016;1377,98;8,34;101,6
"145";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2005;733,57;4,45;113,2
"146";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2006;749,34;4,44;102,1
"147";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2007;818,56;4,69;109,2
"148";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2008;868,39;4,98;106,1
"149";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2009;894,85;5,28;103
"150";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2010;914,52;5,62;102,2
"151";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2011;955,9;5,87;104,5
"152";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2012;969,18;5,78;101,4
"153";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2013;974,72;5,64;100,6
"154";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2014;964,2;5,6;98,9
"155";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2015;950,28;5,71;98,6
"156";"SLOVENIJA";"L POSLOVANJE Z NEPREMIČNINAMI";2016;952,63;5,8;98,8
"157";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2005;836,11;5,03;106,5
"158";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2006;882,75;5,22;105,6
"159";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2007;952,98;5,47;108
"160";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2008;1034,61;5,93;108,6
"161";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2009;1067,01;6,32;103,1
"162";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2010;1078,17;6,62;101
"163";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2011;1097,05;6,78;101,8
"164";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2012;1099,72;6,58;100,2
"165";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2013;1107,56;6,44;100,7
"166";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2014;1092,12;6,34;98,6
"167";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2015;1095,69;6,62;100,3
"168";"SLOVENIJA";"M STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI";2016;1087,65;6,64;100,4
"169";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2005;488,9;2,97;102,7
"170";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2006;506,37;3,03;103,6
"171";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2007;534;3,14;105,5
"172";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2008;583,11;3,4;109,2
"173";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2009;631,03;3,78;108,2
"174";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2010;627,63;3,92;99,5
"175";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2011;668,45;4,21;106,5
"176";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2012;686,58;4,17;102,7
"177";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2013;685,2;4,1;99,8
"178";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2014;703,43;4,16;102,7
"179";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2015;700,95;4,3;99,6
"180";"SLOVENIJA";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2016;699,02;4,33;99,8
"181";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2005;856,07;5,26;103,5
"182";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2006;890,77;5,22;104,1
